loan level,,,,,,,,
loan_id,client_id,month,year,active_status,location,days_in_delay,loan_scenario,MFI
1,1,2,2020,TRUE,Location2,30-Nov,,MFI2
1,1,3,2020,TRUE,Location4,30-60,,MFI2
1,1,3,2020,TRUE,Location1,30-60,,MFI2
1,1,1,2021,TRUE,Location4,91>,,MFI2
1,1,2,2021,TRUE,Location1,no delay,,MFI2
1,1,4,2021,TRUE,Location1,91>,,MFI2
1,1,5,2021,TRUE,Location4,0-10,,MFI2
1,1,2,2022,TRUE,Location3,no delay,,MFI2
1,1,12,2022,TRUE,Location4,no delay,Fully Repaid,MFI2
,,,,,,,,
client level,,,,,,,,
client_id,fully repaid terms,days in delay 0-10,days in delay 11-30,days in delay 31-60,days in delay 61-90,days in delay >90,,
,,3,4,5,0,0,,
,,,,,,,,
when everytime ,,,,,,,,
